rowid,id,year,stint,team,lg,g,ab,r,h,X2b,X3b,hr,rbi,sb,cs,bb,so,ibb,hbp,sh,sf,gidp
4,ansonca01,1871,1,RC1,,25,120,29,39,11,3,0,16,6,2,2,1,NA,NA,NA,NA,NA
44,forceda01,1871,1,WS3,,32,162,45,45,9,4,0,29,8,0,4,0,NA,NA,NA,NA,NA
68,mathebo01,1871,1,FW1,,19,89,15,24,3,1,0,10,2,1,2,0,NA,NA,NA,NA,NA
99,startjo01,1871,1,NY2,,33,161,35,58,5,1,1,34,4,2,3,0,NA,NA,NA,NA,NA
102,suttoez01,1871,1,CL1,,29,128,35,45,3,7,3,23,3,1,1,0,NA,NA,NA,NA,NA
106,whitede01,1871,1,CL1,,29,146,40,47,6,5,1,21,2,2,4,1,NA,NA,NA,NA,NA
113,yorkto01,1871,1,TRO,,29,145,36,37,5,7,2,23,2,2,9,1,NA,NA,NA,NA,NA
121,ansonca01,1872,1,PH1,,46,217,60,90,10,7,0,50,6,6,16,3,NA,NA,NA,NA,NA
143,burdoja01,1872,1,BR2,,37,174,26,46,3,0,0,15,0,1,1,1,NA,NA,NA,NA,NA
167,forceda01,1872,1,TRO,,25,130,40,53,11,0,0,16,2,2,1,0,NA,NA,NA,NA,NA
168,forceda01,1872,2,BL1,,19,95,29,41,2,2,0,13,3,0,1,0,NA,NA,NA,NA,NA
186,hinespa01,1872,1,WS4,,11,49,9,12,1,0,0,5,0,0,0,0,NA,NA,NA,NA,NA
209,mathebo01,1872,1,BL1,,50,223,36,50,1,0,0,21,1,1,3,2,NA,NA,NA,NA,NA
226,nelsoca01,1872,1,TRO,,4,20,2,7,0,0,0,4,0,0,0,2,NA,NA,NA,NA,NA
227,nelsoca01,1872,2,BR1,,18,76,12,19,2,0,0,8,1,0,2,2,NA,NA,NA,NA,NA
229,orourji01,1872,1,MID,,23,101,25,31,4,1,0,12,1,0,2,0,NA,NA,NA,NA,NA
249,startjo01,1872,1,NY2,,55,282,62,76,4,0,0,50,3,3,0,0,NA,NA,NA,NA,NA
252,suttoez01,1872,1,CL1,,22,107,30,30,6,1,0,10,1,0,1,1,NA,NA,NA,NA,NA
259,whitede01,1872,1,CL1,,22,109,21,37,2,2,0,22,0,0,4,1,NA,NA,NA,NA,NA
268,yorkto01,1872,1,BL1,,51,248,66,66,10,4,1,41,2,1,4,1,NA,NA,NA,NA,NA
276,ansonca01,1873,1,PH1,,52,254,53,101,9,2,0,36,0,2,5,1,NA,NA,NA,NA,NA
293,burdoja01,1873,1,BR2,,55,245,56,62,7,1,2,36,3,1,7,4,NA,NA,NA,NA,NA
314,forceda01,1873,1,BL1,,49,234,77,86,8,1,0,31,1,0,9,0,NA,NA,NA,NA,NA
318,gerhajo01,1873,1,WS5,,13,56,6,12,3,0,0,7,0,0,0,5,NA,NA,NA,NA,NA
327,hinespa01,1873,1,WS5,,39,181,33,60,6,3,1,29,0,1,1,1,NA,NA,NA,NA,NA
344,mathebo01,1873,1,NY2,,52,223,40,43,3,3,0,13,1,1,10,3,NA,NA,NA,NA,NA
353,nelsoca01,1873,1,NY2,,36,168,28,55,4,1,0,22,2,0,1,2,NA,NA,NA,NA,NA
355,orourji01,1873,1,BS1,,57,280,79,98,19,3,1,48,4,2,14,1,NA,NA,NA,NA,NA
375,snydepo01,1873,1,WS5,,28,108,16,21,2,0,0,4,0,1,3,3,NA,NA,NA,NA,NA
377,startjo01,1873,1,NY2,,53,251,42,67,8,3,1,28,1,0,4,0,NA,NA,NA,NA,NA
380,suttoez01,1873,1,PH1,,51,242,51,81,7,6,0,33,1,3,2,2,NA,NA,NA,NA,NA
386,whitede01,1873,1,BS1,,60,310,79,121,15,6,0,66,6,2,0,2,NA,NA,NA,NA,NA
394,yorkto01,1873,1,BL1,,57,277,70,84,10,7,2,49,3,1,3,3,NA,NA,NA,NA,NA
398,ansonca01,1874,1,PH1,,55,259,51,87,8,3,0,37,6,0,4,1,NA,NA,NA,NA,NA
413,burdoja01,1874,1,NY2,,61,273,45,75,11,4,1,27,4,0,1,5,NA,NA,NA,NA,NA
436,forceda01,1874,1,CH2,,59,294,61,92,9,0,0,26,4,0,3,1,NA,NA,NA,NA,NA
441,gerhajo01,1874,1,BL1,,14,61,10,19,0,1,0,6,0,0,0,0,NA,NA,NA,NA,NA
451,hinespa01,1874,1,CH2,,59,271,47,80,10,2,0,34,4,1,4,4,NA,NA,NA,NA,NA
465,mathebo01,1874,1,NY2,,65,298,46,72,6,1,0,30,2,0,3,3,NA,NA,NA,NA,NA
476,nelsoca01,1874,1,NY2,,65,297,55,73,7,5,0,32,6,0,9,5,NA,NA,NA,NA,NA
478,orourji01,1874,1,BS1,,70,331,82,104,15,8,5,61,11,1,4,5,NA,NA,NA,NA,NA
496,shaffor01,1874,1,HR1,,9,35,6,8,0,0,1,3,0,0,0,3,NA,NA,NA,NA,NA
497,shaffor01,1874,2,NY2,,1,5,1,1,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
501,snydepo01,1874,1,BL1,,39,151,24,33,4,0,1,17,0,0,1,2,NA,NA,NA,NA,NA
503,startjo01,1874,1,NY2,,63,306,67,96,13,3,2,45,5,0,4,0,NA,NA,NA,NA,NA
505,suttoez01,1874,1,PH1,,55,243,54,71,10,3,0,28,6,4,0,2,NA,NA,NA,NA,NA
512,whitede01,1874,1,BS1,,70,353,75,106,5,7,3,52,1,1,4,0,NA,NA,NA,NA,NA
517,yorkto01,1874,1,PH2,,50,224,36,56,4,7,0,37,1,0,5,4,NA,NA,NA,NA,NA
525,ansonca01,1875,1,PH1,,69,326,84,106,15,3,0,58,11,6,4,2,NA,NA,NA,NA,NA
551,burdoja01,1875,1,HR1,,74,350,72,103,12,5,0,35,20,11,3,13,NA,NA,NA,NA,NA
89398,piazzmi01,2007,1,OAK,AL,83,309,33,85,17,1,8,44,0,0,18,61,0,0,0,2,9
89400,perezne01,2007,1,DET,AL,33,64,5,11,3,0,1,6,0,0,4,8,0,0,3,0,2
89402,parkch01,2007,1,NYN,NL,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
89406,oliveda02,2007,1,LAA,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89410,myersmi01,2007,1,NYA,AL,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89411,mussimi01,2007,1,NYA,AL,2,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
89412,moyerja01,2007,1,PHI,NL,33,73,4,9,2,0,0,2,0,0,2,26,0,0,8,0,1
89420,mesajo01,2007,1,PHI,NL,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89421,martipe02,2007,1,NYN,NL,5,9,1,1,1,0,0,0,0,0,0,6,0,0,2,0,0
89425,maddugr01,2007,1,SDN,NL,33,62,2,9,2,0,0,0,1,0,1,19,0,0,9,0,2
89426,mabryjo01,2007,1,COL,NL,28,34,4,4,1,0,1,5,0,0,5,10,0,0,0,0,1
89429,loftoke01,2007,2,CLE,AL,52,173,24,49,9,3,0,15,2,3,17,23,0,0,4,2,1
89430,loftoke01,2007,1,TEX,AL,84,317,62,96,16,3,7,23,21,4,39,28,1,2,2,3,5
89431,loaizes01,2007,1,LAN,NL,5,7,0,1,0,0,0,2,0,0,0,2,0,0,2,0,1
89438,kleskry01,2007,1,SFN,NL,116,362,51,94,27,3,6,44,5,1,46,68,2,1,1,1,14
89439,kentje01,2007,1,LAN,NL,136,494,78,149,36,1,20,79,1,3,57,61,4,5,0,6,17
89442,jonesto02,2007,1,DET,AL,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89445,johnsra05,2007,1,ARI,NL,10,15,0,1,0,0,0,0,0,0,1,7,0,0,2,0,0
89450,hoffmtr01,2007,1,SDN,NL,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
